종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"409810","KODEX 미국나스닥100선물인버스(H)","8320","-70","-0.83","8239.42","8295","8320","8280","117509","975730513","20800000000","0","2500000","NASDAQ 100","19704.64","0.00","0.00"
"455030","KODEX 미국달러SOFR금리액티브(합성)","12295","-50","-0.41","12295.78","12290","12330","12270","32696","401797503","401062900000","0","32620000","Bloomberg SOFR Daily Total Return Index","118.52","0.00","0.00"
"261240","KODEX 미국달러선물","14315","-60","-0.42","14337.87","14375","14375","14300","33649","482047826","61125050000","0","4270000","미국달러선물지수","1584.09","-5.80","-0.36"
"261250","KODEX 미국달러선물레버리지","16720","-115","-0.68","16731.96","16800","16810","16655","32965","550874295","41131200000","0","2460000","미국달러선물지수","1584.09","-5.80","-0.36"
"261270","KODEX 미국달러선물인버스","7830","40","0.51","7831.56","7800","7840","7800","26869","210168498","61778700000","0","7890000","미국달러선물지수","1584.09","-5.80","-0.36"
"261260","KODEX 미국달러선물인버스2X","5210","35","0.68","5214.69","5180","5230","5180","464021","2417115622","275088000000","0","52800000","미국달러선물지수","1584.09","-5.80","-0.36"
"280930","KODEX 미국러셀2000(H)","12105","80","0.67","12217.66","12125","12140","12100","27362","331307695","47209500000","0","3900000","FTSE Russell 2000 Index","2044.10","0.00","0.00"
"411420","KODEX 미국메타버스나스닥액티브","13510","110","0.82","13585.02","13420","13550","13420","5271","71253159","52013500000","0","3850000","Nasdaq CB Insights Metaverse US Index (Price Return)","1344.92","0.00","0.00"
"390390","KODEX 미국반도체","22415","190","0.85","22564.35","22500","22560","22415","151748","3409487799","428126500000","0","19100000","MVIS US Listed Semiconductor 25 Index","6826.65","0.00","0.00"
"489250","KODEX 미국배당다우존스","10845","-5","-0.05","10900.07","10905","10905","10835","555256","6031943826","284139000000","0","26200000","Dow Jones U.S. Dividend 100 Price Return Index","5822.74","0.00","0.00"
"483290","KODEX 미국배당다우존스타겟커버드콜","10380","20","0.19","10426.30","10420","10420","10370","168988","1756387477","146358000000","0","14100000","Dow Jones U.S. Dividend 100 10% Premium Covered Call Index(Total Return)","464.95","0.00","0.00"
"441640","KODEX 미국배당커버드콜액티브","11470","25","0.22","11530.98","11530","11530","11460","882701","10140733742","293632000000","0","25600000","S&P 500","5638.94","0.00","0.00"
"352560","KODEX 미국부동산리츠(H)","11915","240","2.06","11914.00","11890","11935","11890","17406","207139605","33362000000","0","2800000","Dow Jones U.S. Real Estate PR Index","362.41","0.00","0.00"
"314250","KODEX 미국빅테크10(H)","42145","415","0.99","42517.88","42255","42330","42105","139470","5888332235","563478650000","0","13370000","NYSE U.S. Big TECH 10 INDEX","12057.17","0.00","0.00"
"473460","KODEX 미국서학개미","15725","285","1.85","15907.34","15880","15880","15620","821363","12937902134","189486250000","0","12050000","iSelect 서학개미 지수(PR)","4074.03","0.00","0.00"
"390400","KODEX 미국스마트모빌리티S&P","5635","40","0.71","5657.24","5615","5660","5580","2759","15531840","8452500000","0","1500000","S&P Kensho Smart Transportation","158.87","0.00","0.00"
